,rank,word,count,length,adj_length,reserved
54,192,university,311373936,10.0,10.0,1
59,204,management,304201237,10.0,10.0,1
109,284,technology,238674296,10.0,10.0,1
157,352,government,206582673,10.0,10.0,1
173,376,department,197293325,10.0,10.0,1
217,441,categories,173839008,10.0,10.0,1
222,451,conditions,168957006,10.0,10.0,1
303,565,experience,137134662,10.0,10.0,1
312,580,activities,132685190,10.0,10.0,1
315,584,additional,132187702,10.0,10.0,1
361,648,washington,120978063,10.0,10.0,1
367,657,california,119376975,10.0,10.0,1
398,702,discussion,111973466,10.0,10.0,1
428,743,collection,107121885,10.0,10.0,1
456,784,conference,101987691,10.0,10.0,1
496,841,individual,94815082,10.0,10.0,1
518,877,everything,91388083,10.0,10.0,1
523,883,production,90612739,10.0,10.0,1
524,884,commercial,90554932,10.0,10.0,1
532,893,newsletter,89828494,10.0,10.0,1
541,905,registered,88506935,10.0,10.0,1
548,913,protection,87824220,10.0,10.0,-2
631,1023,employment,79105156,10.0,10.0,-2
634,1027,commission,78817488,10.0,10.0,-2
654,1054,electronic,76707502,10.0,10.0,-2
696,1112,particular,72056920,10.0,10.0,-2
711,1135,facilities,70595127,10.0,10.0,-2
728,1158,statistics,69194446,10.0,10.0,-2
734,1165,investment,68891129,10.0,10.0,-2
777,1221,industrial,65921648,10.0,10.0,-2
786,1240,associated,65218530,10.0,10.0,-2
794,1249,foundation,64753514,10.0,10.0,-2
831,1296,population,62452044,10.0,10.0,-2
834,1300,navigation,62202958,10.0,10.0,-2
835,1301,operations,62143782,10.0,10.0,-2
844,1311,understand,61719969,10.0,10.0,-2
856,1326,connection,61302455,10.0,10.0,-2
870,1343,properties,60747209,10.0,10.0,-2
890,1370,assessment,59513100,10.0,10.0,1
894,1378,especially,59336380,10.0,10.0,1
935,1431,considered,57378298,10.0,10.0,1
956,1459,enterprise,56414984,10.0,10.0,1
976,1485,processing,55486868,10.0,10.0,1
978,1487,resolution,55429399,10.0,10.0,1
989,1502,components,54964736,10.0,10.0,1
993,1506,assistance,54831021,10.0,10.0,1
1028,1557,disclaimer,52917604,10.0,10.0,1
1033,1563,membership,52738089,10.0,10.0,1
1048,1582,background,52214134,10.0,10.0,1
1060,1597,trademarks,51590807,10.0,10.0,1
1074,1614,television,51304347,10.0,10.0,1
1075,1615,interested,51282170,10.0,10.0,1
1078,1619,throughout,51160616,10.0,10.0,1
1121,1675,associates,49020998,10.0,10.0,1
1138,1698,businesses,48419913,10.0,10.0,1
1142,1703,restaurant,48255033,10.0,10.0,1
1144,1709,procedures,48063184,10.0,10.0,1
1169,1744,themselves,47176048,10.0,10.0,1
1173,1750,evaluation,46929581,10.0,10.0,1
1179,1761,references,46748380,10.0,10.0,1
1182,1768,literature,46607011,10.0,10.0,1
1183,1769,respective,46528775,10.0,10.0,1
1198,1785,definition,46017042,10.0,10.0,1
1201,1788,networking,45918427,10.0,10.0,1
1202,1790,australian,45733685,10.0,10.0,1
1224,1816,guidelines,45207269,10.0,10.0,1
1241,1844,difference,44546845,10.0,10.0,1
1266,1873,directions,43874498,10.0,10.0,1
1285,1893,automotive,43128760,10.0,10.0,1
1287,1896,successful,43041696,10.0,10.0,1
1295,1906,publishing,42809196,10.0,10.0,1
1298,1909,developing,42769271,10.0,10.0,1
1307,1920,historical,42501329,10.0,10.0,1
1314,1928,scientific,42415451,10.0,10.0,1
1329,1953,functional,41862937,10.0,10.0,1
1334,1963,monitoring,41647453,10.0,10.0,1
1350,1984,dictionary,40838300,10.0,10.0,1
1351,1986,accounting,40819336,10.0,10.0,1
1372,2012,techniques,40278251,10.0,10.0,1
1380,2023,permission,40032805,10.0,10.0,1
1384,2029,generation,39912229,10.0,10.0,1
1427,2085,characters,38778931,10.0,10.0,1
1434,2094,apartments,38568257,10.0,10.0,1
1476,2142,designated,37777117,10.0,10.0,1
1480,2149,integrated,37600088,10.0,10.0,1
1492,2164,compliance,37305612,10.0,10.0,1
1509,2186,acceptance,36864919,10.0,10.0,1
1510,2187,strategies,36860865,10.0,10.0,1
1521,2202,affiliates,36686155,10.0,10.0,1
1528,2211,multimedia,36522534,10.0,10.0,1
1544,2230,leadership,36108608,10.0,10.0,1
1566,2254,comparison,35683256,10.0,10.0,1
1626,2327,determined,34600925,10.0,10.0,1
1634,2336,statements,34416902,10.0,10.0,1
1636,2338,completely,34385075,10.0,10.0,1
1646,2352,electrical,34176498,10.0,10.0,1
1647,2353,applicable,34173309,10.0,10.0,1
1663,2373,basketball,33848810,10.0,10.0,1
1685,2399,identified,33222080,10.0,10.0,1
1743,2480,frequently,32113462,10.0,10.0,1
1751,2492,laboratory,31956885,10.0,10.0,1
1795,2545,industries,31316683,10.0,10.0,1
1800,2552,expression,31179707,10.0,10.0,1
1802,2555,provisions,31126350,10.0,10.0,1
1804,2558,principles,31050339,10.0,10.0,1
1815,2573,compatible,30811666,10.0,10.0,1
1823,2585,consulting,30662624,10.0,10.0,1
1824,2586,recreation,30662263,10.0,10.0,1
1877,2650,parameters,29922419,10.0,10.0,1
1894,2671,introduced,29783908,10.0,10.0,1
1951,2743,originally,29016923,10.0,10.0,1
